X,Y,OBJECTID,Block,Lot,PermitNum,VBN,DateIssue,DateIssued,ExistingUse,ProposedUse,HousingMarketTypology2017,Council_District,Neighborhood,BLOCKLOT,Address
1413927.21054688,589782.416815311,30563,0246,039,USE2018-56421,Y,2019/04/05 15:30:17+00,Apr  5 2019  3,3-45,3-45,E,9,Union Square,0246 039,1500 W PRATT ST
1413829.5352173,589864.632202059,30579,0246,050,BUSE-26-000726,Y,2026/02/26 00:00:00+00,Feb 26 2026 12,Single Family Dwelling,Single Family Dwelling,E,9,Union Square,0246 050,1509 LEMMON ST
1415341.1581783,590314.083730981,30590,0234,074,USE2015-00784,Y,2015/03/04 00:00:00+00,Mar  4 2015 12,VAC,SF,F,9,Hollins Market,0234 074,40 S CARLTON ST
1415341.72674672,590302.093597472,30606,0234,075,USE2015-00785,Y,2015/03/04 00:00:00+00,Mar  4 2015 12,VAC,SF,F,9,Hollins Market,0234 075,42 S CARLTON ST
1415928.15930089,590526.917950973,30627,0235,004,USE2015-00677,Y,2015/05/29 00:00:00+00,May 29 2015 12,SF,SF,F,9,Hollins Market,0235 004,1007 HOLLINS ST
1420922.03513989,584361.476213649,30739,1012,042,USE2020-51722,Y,2020/04/30 00:00:00+00,Apr 30 2020 12,1-08,1-08,B,10,South Baltimore,1012 042,104 W HEATH ST
1420905.63392597,584541.280644059,30757,1012,057,USE2024-51968,Y,2024/11/21 00:00:00+00,Nov 21 2024 12,1-08,1-08,B,10,South Baltimore,1012 057,1607 RACE ST
1414281.25150546,589144.46664764,30798,0280,090,USE2024-50760,Y,2024/09/25 00:00:00+00,Sep 25 2024 12,7-03,1-08,I,9,Mount Clare,0280 090,323 S NORRIS ST
1415574.7699158,598015.537160054,30830,0315,006,USE2020-51481,Y,2020/04/29 00:00:00+00,Apr 29 2020 12,1-08,1-08,I,7,Druid Heights,0315 006,2010 MCCULLOH ST
1415551.7994893,598039.037113056,30832,0315,008,USE2015-03154,Y,2015/08/19 00:00:00+00,Aug 19 2015 12,SF,MF,I,7,Druid Heights,0315 008,2014 MCCULLOH ST
1415475.64839488,598148.14877148,30843,0315,016,USE2015-02989,Y,2015/09/10 00:00:00+00,Sep 10 2015 12,2FD,2FD,I,7,Druid Heights,0315 016,2030 MCCULLOH ST
1415452.91320413,597961.694091886,30862,0315,033,USE2024-54325,Y,2024/09/04 00:00:00+00,Sep  4 2024 12,1-08,1-08,I,7,Druid Heights,0315 033,2015 DRUID HILL AVE
1417249.47293122,590578.183924556,30894,0238,053,USE2017-51839,Y,2017/09/26 09:30:02+00,Sep 26 2017  9,1-07,1-07,E,9,Hollins Market,0238 053,825 HOLLINS ST
1411915.34252338,589909.974631056,30944,0242,044,USE2017-52376,Y,2017/10/13 14:30:00+00,Oct 13 2017  2,1-08,1-08,J,9,Carrollton Ridge,0242 044,1941 W LOMBARD ST
1412246.14566755,589886.262080058,30970,0242,070,USE2018-53026,Y,2018/10/03 15:00:05+00,Oct  3 2018  3,1-08,1-08,J,9,Carrollton Ridge,0242 070,112 S MONROE ST
1412248.59316923,589837.077795222,30974,0242,074,USE2024-56136,Y,2025/03/20 00:00:00+00,Mar 20 2025 12,Dwelling: Rowhouse,Dwelling: Rowhouse,J,9,Carrollton Ridge,0242 074,120 S MONROE ST
1412250.80707556,589766.640928224,30977,0242,077,USE2015-02759,Y,2015/07/21 00:00:00+00,Jul 21 2015 12,VAC,SF,J,9,Carrollton Ridge,0242 077,126 S MONROE ST
1412251.44716613,589753.750205979,30978,0242,078,USE2015-02758,Y,2015/07/21 00:00:00+00,Jul 21 2015 12,VAC,SF,J,9,Carrollton Ridge,0242 078,128 S MONROE ST
1429075.42500106,594005.364734232,31001,1652,050,USE2016-01161,Y,2016/04/13 00:00:00+00,Apr 13 2016 12,VAC,MIXC,I,13,CARE,1652 050,517 N CHESTER ST
1429078.69467956,593949.227707401,31004,1652,055,USE2018-53926,Y,2018/08/13 13:30:04+00,Aug 13 2018  1,1-08,1-03,I,13,CARE,1652 055,511 N CHESTER ST
1429079.42039989,593936.552207813,31005,1652,056,USE2018-53925,Y,2018/08/13 13:30:04+00,Aug 13 2018  1,1-08,1-03,I,13,CARE,1652 056,509 N CHESTER ST
1408578.31835756,590731.00743781,31015,2169,041,USE2015-04772,Y,2016/02/16 00:00:00+00,Feb 16 2016 12,SF,SF,J,9,Shipley Hill,2169 041,2723 W FAIRMOUNT AVE
1429711.6215633,594060.21862714,31060,1653,027,USE2015-04887,Y,2015/11/18 00:00:00+00,Nov 18 2015 12,SF,SF,I,13,CARE,1653 027,520 N PATTERSON PARK AVE
